x,y,z,dist
-323.768341,93.703148,-592.372192,776.000000
-322.811310,93.676773,-591.663940,777.000000
-322.494476,93.667145,-591.418640,778.000000
-321.861847,93.647354,-590.911804,778.000000
-320.923645,93.617661,-590.118408,779.000000
-320.613159,93.607597,-589.845215,780.000000
-319.062500,93.551033,-588.416504,782.000000
-318.754028,93.539253,-588.119141,783.000000
-318.136932,93.516182,-587.511230,784.000000
-317.207886,93.480606,-586.572144,784.000000
-316.893585,93.467819,-586.249756,786.000000
-315.322968,93.403877,-584.601501,787.000000
-315.004364,93.391296,-584.260376,788.000000
-313.718231,93.338455,-582.868347,789.000000
-313.393158,93.325096,-582.512939,790.000000
-313.066956,93.311897,-582.154358,792.000000
-311.081177,93.235954,-579.939819,793.000000
-310.743042,93.223579,-579.560669,794.000000
-310.401001,93.210922,-579.176697,795.000000
-309.713867,93.185638,-578.404297,795.000000
-309.367310,93.173759,-578.014099,796.000000
-309.019196,93.162537,-577.622192,796.000000
-308.668640,93.151794,-577.227722,798.000000
-306.874298,93.101250,-575.219727,800.000000
-306.510712,93.092163,-574.817383,801.000000
-305.400787,93.066162,-573.601501,802.000000
-304.646912,93.048515,-572.789062,803.000000
-303.877594,93.030647,-571.973145,805.000000
-302.694733,93.002808,-570.744507,806.000000
-302.291473,92.993431,-570.333984,806.000000
-299.768402,92.942711,-567.895020,810.000000
-299.331940,92.933998,-567.494019,812.000000
-297.070404,92.889793,-565.516418,814.000000
-296.604004,92.881363,-565.130310,816.000000
-293.697784,92.833023,-562.879761,818.000000
-293.194153,92.825447,-562.516418,819.000000
-292.174194,92.809769,-561.802429,821.000000
-290.612152,92.786659,-560.768250,822.000000
-290.079834,92.779114,-560.430664,823.000000
-287.357727,92.741455,-558.820435,825.000000
-286.801086,92.733528,-558.513306,827.000000
-285.675598,92.717705,-557.915466,827.000000
-283.951874,92.693649,-557.054260,829.000000
-283.370667,92.685677,-556.778625,830.000000
-280.404327,92.644745,-555.476562,833.000000
-279.799622,92.637199,-555.233215,834.000000
-278.577942,92.623398,-554.762634,837.000000
-276.710999,92.605408,-554.094238,838.000000
-276.080933,92.600967,-553.882874,839.000000
-272.878723,92.588608,-552.917969,843.000000
-272.225037,92.588478,-552.741760,844.000000
-270.907745,92.592758,-552.408691,849.000000
-268.241119,92.610863,-551.820679,850.000000
-267.563873,92.619240,-551.689636,852.000000
-266.202393,92.638390,-551.444458,854.000000
-264.132568,92.670967,-551.117981,856.000000
-263.436157,92.683411,-551.020935,858.000000
-259.918121,92.751312,-550.630310,861.000000
-259.208313,92.765869,-550.569946,862.000000
-258.498535,92.780403,-550.515747,862.000000
-257.785980,92.794762,-550.467285,864.000000
-255.653931,92.834862,-550.354797,865.000000
-254.940262,92.847466,-550.327515,866.000000
-251.338531,92.905785,-550.264709,869.000000
-250.610458,92.917740,-550.266541,871.000000
-246.921082,92.981590,-550.351562,873.000000
-246.175858,92.995407,-550.384277,874.000000
-245.425735,93.009399,-550.422180,875.000000
-244.675308,93.023262,-550.464905,876.000000
-242.406876,93.065369,-550.623474,878.000000
-241.642410,93.079727,-550.686646,879.000000
-240.112320,93.107857,-550.827271,882.000000
-236.239334,93.181686,-551.266968,884.000000
-235.458755,93.197052,-551.369080,886.000000
-232.307343,93.261513,-551.821655,888.000000
-231.514847,93.277641,-551.944519,889.000000
-230.719925,93.293976,-552.071167,890.000000
-229.120041,93.327354,-552.335876,891.000000
-228.318054,93.343979,-552.473206,892.000000
-227.513626,93.360786,-552.614014,893.000000
-225.897629,93.395859,-552.905212,896.000000
-223.454880,93.449387,-553.363831,897.000000
-222.626678,93.467789,-553.523926,898.000000
-221.805740,93.486298,-553.684875,898.000000
-217.665039,93.581589,-554.527100,903.000000
-216.830353,93.602058,-554.702820,904.000000
-214.311508,93.665344,-555.244751,906.000000
-212.622757,93.709389,-555.617615,908.000000
-211.772888,93.731712,-555.808167,910.000000
-209.237137,93.801743,-556.388611,911.000000
-207.540848,93.850479,-556.786194,913.000000
-206.688309,93.874962,-556.988770,916.000000
-202.380310,94.001213,-558.042480,918.000000
-201.513153,94.027657,-558.259583,919.000000
-198.016129,94.136002,-559.143616,924.000000
-196.252991,94.190636,-559.592529,925.000000
-195.368912,94.218002,-559.818054,927.000000
-193.591827,94.273117,-560.271729,928.000000
-190.909454,94.357056,-560.956970,930.000000
-190.008301,94.385765,-561.187134,932.000000
-188.196701,94.443825,-561.649353,933.000000
-187.290329,94.473022,-561.880066,935.000000
-185.470016,94.531967,-562.341492,936.000000
-184.556076,94.561340,-562.572021,938.000000
-179.941849,94.711983,-563.713196,942.000000
-179.011353,94.744064,-563.936768,944.000000
-176.199799,94.843124,-564.594727,947.000000
-174.311661,94.910545,-565.019958,948.000000
-173.363846,94.944374,-565.227966,950.000000
-170.496948,95.048248,-565.833435,953.000000
-168.575363,95.118248,-566.218994,954.000000
-167.610352,95.153336,-566.406433,958.000000
-162.742218,95.328903,-567.287903,961.000000
-161.757248,95.364647,-567.453064,963.000000
-158.796570,95.476646,-567.921997,966.000000
-156.805038,95.555275,-568.214600,967.000000
-155.807877,95.595245,-568.354309,968.000000
-154.804825,95.635765,-568.490173,969.000000
-153.802734,95.676407,-568.621460,972.000000
-149.791611,95.838341,-569.101135,974.000000
-148.781418,95.878403,-569.210632,976.000000
-146.770233,95.955856,-569.415833,978.000000
-144.747864,96.031227,-569.604675,979.000000
-143.732681,96.068466,-569.692566,980.000000
-142.713837,96.105644,-569.776062,982.000000
-140.672058,96.181786,-569.928528,984.000000
-137.585571,96.302559,-570.121948,986.000000
-136.555420,96.344070,-570.176758,990.000000
-132.413544,96.511597,-570.348938,991.000000
-131.373322,96.553055,-570.380188,992.000000
-130.326965,96.594299,-570.406799,994.000000
-128.238480,96.675194,-570.445251,998.000000
-125.090546,96.794357,-570.464722,999.000000
-124.035416,96.833923,-570.460266,1000.000000
-122.982033,96.873360,-570.450134,1003.000000
-119.806236,96.991791,-570.383667,1004.000000
-118.747238,97.031296,-570.349182,1005.000000
-117.686966,97.070854,-570.308350,1006.000000
-116.625496,97.110542,-570.261047,1009.000000
-113.428360,97.230270,-570.079956,1010.000000
-112.362579,97.269958,-570.006531,1011.000000
-111.293076,97.309715,-569.926147,1012.000000
-110.225441,97.349281,-569.839539,1015.000000
-107.016449,97.465096,-569.540161,1017.000000
-104.866081,97.539703,-569.307251,1019.000000
-103.793770,97.576347,-569.181091,1020.000000
-100.572472,97.684586,-568.765137,1023.000000
-99.497353,97.719948,-568.614685,1024.000000
-98.421516,97.754852,-568.458679,1025.000000
-97.336929,97.789566,-568.295959,1026.000000
-96.259575,97.823624,-568.129150,1030.000000
-91.936264,97.957550,-567.411316,1032.000000
-90.855057,97.990623,-567.220154,1035.000000
